ANS_CAT_RESULT_ID,EVAL_CAT_CD,ANS_SCORE_ID,ANS_CAT_SCORE,STRENGTH_KEYWORD,WEAKNESS_KEYWORD,RGS_DTM,UPD_DTM
1021,COMMUNICATION,102,30,,,00:01.0,00:01.0
1022,ORG_FIT,102,30,조직 가치관에 대한 명확한 이해 부족,구체적인 협업 경험과 기업 이해도 부족,00:01.0,00:01.0
1023,JOB_COMPATIBILITY,102,20,기본적인 머신러닝 개념 이해,"실제 프로젝트 경험 부족, 데이터 처리 및 분석 기술 미흡, 최신 기술 트렌드에 대한 관심 부족",00:01.0,00:01.0
1024,TECH_STACK,102,45,"기초 개념 이해, 온라인 강의 수강 경험","실제 구현 경험 부족, 프로젝트 완성도 낮음, 최신 기술 활용 경험 없음",00:01.0,00:01.0
2011,COMMUNICATION,201,85,"팀워크와 실행력 강조, 실무 경험을 통한 구체적인 사례 제시","문장 구조의 명확성 부족, 중복된 내용으로 인한 혼란",00:31.0,00:31.0
2012,ORG_FIT,201,75,"팀워크, 실행력, 소비자 행동론, 마케팅 전략, 주도적 경험","기업 비전 이해 부족, 구체적 사업 영역 언급 부족, 갈등 해결 사례 부족",00:31.0,00:31.0
2013,JOB_COMPATIBILITY,201,55,"소비자 행동론, 마케팅 전략, 팀워크, 실행력, 공모전 수상 경험","기술적 전문성 부족, 데이터 처리 경험 부족, 실무 프로젝트 경험 부족, 머신러닝/딥러닝 이해 부족",00:31.0,00:31.0
2014,TECH_STACK,201,65,"팀워크, 실행력, 마케팅 공모전 경험, 소비자 행동론, 기획 능력","AI/ML 기술 활용 경험 부족, 데이터 처리 및 분석 능력 미흡, 포트폴리오 완성도 낮음",00:31.0,00:31.0
2021,COMMUNICATION,202,50,"성실함 강조, 팀워크에 대한 긍정적 태도","구체적인 예시 부족, 문장 구조의 명확성 필요",00:49.0,00:49.0
2022,ORG_FIT,202,60,"성실함, 책임감, 빠른 적응력","구체적인 사례 부족, 팀워크 및 소통 경험 미비, 기업 이해도 낮음",00:49.0,00:49.0
2023,JOB_COMPATIBILITY,202,40,"성실함, 책임감, 팀워크","기술적 전문성 부족, 실무 경험 부족, 구체적인 프로젝트 경험 없음",00:49.0,00:49.0
2024,TECH_STACK,202,40,"성실함, 책임감, 팀 적응력","구체적인 기술 경험 부족, 프로젝트 구현 경험 없음, 데이터 처리 및 분석 능력 부족",00:49.0,00:49.0
2031,COMMUNICATION,203,55,"주제와 관련된 정보 제공, 전문 용어 사용","문장 구조의 명확성 부족, 내용의 일관성 결여",01:09.0,01:09.0
2032,ORG_FIT,203,20,"조직 문화에 대한 이해 부족, 구체적인 사례 부족","명확한 의사소통 부족, 팀워크 경험 부족, 기업 비전 이해 부족",01:09.0,01:09.0
2033,PROBLEM_SOLVING,203,30,기본적인 문제 인식,"논리적 흐름 부족, 구체적 실행 방안 미비",01:09.0,01:09.0
2041,COMMUNICATION,204,52,"성실한 태도 표현, 팀워크 강조","구체적인 경험 부족, 문장 구조의 명확성 부족",01:25.0,01:25.0
2042,ORG_FIT,204,55,"성실함, 책임감, 성장 의지","구체적인 사례 부족, 팀워크 경험 미비, 기업 이해도 낮음",01:25.0,01:25.0
2043,JOB_COMPATIBILITY,204,40,"성실함, 책임감, 팀워크","기술적 전문성 부족, 실무 경험 결여, 구체적인 프로젝트 경험 없음",01:25.0,01:25.0
2044,TECH_STACK,204,40,"성실함, 책임감, 팀워크","구체적인 기술 경험 부족, AI/ML 기술 활용 경험 없음, 데이터 처리 및 분석 능력 미흡",01:25.0,01:25.0
2045,PROBLEM_SOLVING,204,45,"성실함, 책임감, 빠른 적응력","문제 분석 부족, 구체적 실행 방안 미비, 창의적 접근 결여",01:25.0,01:25.0
2051,COMMUNICATION,205,85,"구체적인 경험 공유, 팀워크와 실행력 강조","문장 구조의 명확성 부족, 중복된 내용으로 인한 흐름 저하",01:53.0,01:53.0
2052,ORG_FIT,205,75,"팀장 경험, 주도적인 프로젝트 수행, 팀워크와 실행력","기업 비전 및 미션 이해 부족, 구체적인 SK AX 사업 영역 언급 부족",01:53.0,01:53.0
2053,JOB_COMPATIBILITY,205,65,"소비자 행동론, 마케팅 전략, 팀장 경험, 데이터 기반 전략 수립, 팀워크","기술적 전문성 부족, 머신러닝/딥러닝 경험 미비, 데이터 처리 경험 제한, 실무 프로젝트 경험 부족",01:53.0,01:53.0
2054,TECH_STACK,205,65,"팀워크, 실행력, 소비자 행동론, 마케팅 전략 경험, 프로젝트 관리 능력","AI/ML 기술 활용 경험 부족, 데이터 처리/분석 능력 미흡, 포트폴리오 완성도 낮음",01:53.0,01:53.0
2055,PROBLEM_SOLVING,205,75,"팀워크, 실행력, 실무 경험, 데이터 기반 전략 수립","문제 분석의 깊이 부족, 창의적 아이디어의 제한, 구체적 실행 방안 부족",01:53.0,01:53.0
2061,COMMUNICATION,206,79,"구성원의 적합성에 대한 명확한 이해, 팀장 역할에 대한 깊은 통찰력","발화의 흐름이 매끄럽지 않음, 구체적인 예시 부족",02:19.0,02:19.0
